DATE,DRALACBN
2007-01-01,1.75
2007-04-01,1.79
2007-07-01,2.12
2007-10-01,2.56
2008-01-01,2.90
2008-04-01,3.19
2008-07-01,3.69
2008-10-01,4.90
2009-01-01,5.72
2009-04-01,6.15
2009-07-01,6.88
2009-10-01,7.49
2010-01-01,7.50
2010-04-01,6.99
2010-07-01,6.85
2010-10-01,6.51
2011-01-01,6.27
2011-04-01,5.82
2011-07-01,5.67
2011-10-01,5.55
2012-01-01,5.33
